x1,x2,y
0.8366,-2.8499,3.2566
1.4188,1.0602,26.6138
2.3531,-2.4784,22.699
-1.6882,0.0321,27.9096
-2.8408,-1.807,33.345
-1.6774,0.5356,26.0418
1.8566,-2.961,11.5705
-0.9585,-2.0671,9.4835
2.7433,-0.9804,41.6103
2.085,0.6224,34.3038
1.8428,1.3784,24.7573
-0.7288,0.3122,20.4359
1.9764,0.7111,33.6778
1.2274,-2.7251,6.0533
-1.6326,-1.2637,23.6802
-2.394,-1.3322,31.64
0.8141,-0.811,19.5639
-1.3981,2.6199,14.8061
0.8882,0.6548,23.7609
-2.0196,-0.7233,31.5897
2.9371,0.84,44.6433
2.0571,1.656,29.0969
-1.6257,-2.8074,8.0722
-1.7341,2.6575,17.773
2.2582,-1.1119,32.0002
2.4873,-0.2469,38.1872
-1.4107,-1.5202,18.0374
0.5075,2.3869,11.578
-0.6036,-1.6841,15.2251
-2.4545,-2.7173,19.3346
-2.3421,0.7647,35.2911
-2.6188,-0.7103,36.0297
2.9767,0.1747,51.1144
-2.9311,1.3243,41.587
1.0903,0.2218,24.008
-2.3307,-0.3914,36.5681
-0.2777,2.7229,8.8208
0.0035,-1.9281,9.8138
2.4758,2.2231,31.3231
0.6538,-2.083,12.8916
1.5751,0.2363,28.6846
-2.9966,-1.0551,40.3442
-2.8831,2.5746,34.862
-1.1549,-2.6524,4.7457
2.2681,2.6817,26.3509
-2.5847,1.5636,36.3109
1.595,-2.2297,14.385
-1.4097,2.2346,17.7975
-0.4612,-1.7292,10.3444
-1.7931,-1.1297,24.4737
